Location	ent_type	context	p_no	LongLabel	Addr_type	Type	StAddr	StName	AddNum	City	Subregion	Region	CntryName	Country	x	y	score	error
Misadventure	GPE	A Misadventure	178	Miwaadventure, Höhenstrasse 31, 8620, Wetzikon, Zürich, CHE	POI	School	Höhenstrasse 31	Höhen	31	Wetzikon	Hinwil	Zürich	Schweiz	CHE	8.789090000000044	47.31471000000005	87.08	
France	GPE	the breakfast that they have to be so particular in France how they look in bed.	179	France	Locality	Country							France	FRA	2.5505399530000545	46.55941704400004	100	
Havre	GPE	Hotel Frascati, Havre,	189	Havre, MT, USA	Locality	City				Havre	Hill County	Montana	United States	USA	-109.67165999999997	48.55297000000007	100	
Havre	GPE	Havre to Trouville	191	Havre, MT, USA	Locality	City				Havre	Hill County	Montana	United States	USA	-109.67165999999997	48.55297000000007	100	
Trouville	GPE	Havre to Trouville	191	Trouville, Calvados, Normandie, FRA	Locality	City				Trouville	Calvados	Normandie	France	FRA	0.08041000000002896	49.36570000000006	100	
Trouville	GPE	voyage is nearly finished, for we go over to Trouville this evening, and from there by train back to	192	Trouville, Calvados, Normandie, FRA	Locality	City				Trouville	Calvados	Normandie	France	FRA	0.08041000000002896	49.36570000000006	100	
Vinant	GPE	this evening, and from there by train back to Vinant. The river is not nearly so pretty after you	192	Vinzant, 904 W Old Ridge Rd, Hobart, IN, 46342, USA	POI	Other Shops and Service	904 W Old Ridge Rd	Old Ridge	904	Hobart	Lake County	Indiana	United States	USA	-87.27105899999998	41.54000000000008	85.71	
Tancarville	GPE	not nearly so pretty after you leave Caudebec, but Tancarville is fine, and looks very imposing sitting up so	192	Tancarville, Seine-Maritime, Normandie, FRA	Locality	City				Tancarville	Seine-Maritime	Normandie	France	FRA	0.45144387600004166	49.48758771000007	100	
Havre	GPE	and sun-burnt by the time we got to Havre, and Héloise and the Marquise and I started at	192	Havre, MT, USA	Locality	City				Havre	Hill County	Montana	United States	USA	-109.67165999999997	48.55297000000007	100	
England	GPE	talking to one's neighbour when I get back to England. The restaurant at Frascati isn't at all bad	194	England, GBR	Locality	State or Province						England	United Kingdom	GBR	-1.4586284489999457	52.59274188900008	100	
ce qu'elles	GPE	"où diable est-ce que ces dames mettent tout ce qu'elles mangent? Elles goblottent toute la journée!"""	195	Coquelles, Pas-de-Calais, Hauts-de-France, FRA	Locality	City				Coquelles	Pas-de-Calais	Hauts-de-France	France	FRA	1.7998380610000595	50.93646109500003	89	
England	GPE	to talk of the teeny weeny things we do in England. They have most exquisite manners, and extraordinarily unpleasant	197	England, GBR	Locality	State or Province						England	United Kingdom	GBR	-1.4586284489999457	52.59274188900008	100	
Trouville	GPE	writing to you instead, and we cross over to Trouville at five o'clock in the ordinary boat, as it	200	Trouville, Calvados, Normandie, FRA	Locality	City				Trouville	Calvados	Normandie	France	FRA	0.08041000000002896	49.36570000000006	100	
Paris	GPE	have often noticed from the train if you go to Paris from Dieppe. Well, Hippolyte told us the story	202	Paris, Île-de-France, FRA	Locality	City				Paris	Paris	Île-de-France	France	FRA	2.3616573370000538	48.86369757600005	100	
Dieppe	GPE	noticed from the train if you go to Paris from Dieppe. Well, Hippolyte told us the story when we	202	Dieppe, Seine-Maritime, Normandie, FRA	Locality	City				Dieppe	Seine-Maritime	Normandie	France	FRA	1.0776488240000504	49.92281048000007	100	
France	GPE	I was flattered, as that seemed to mean in France all that was attractive in contrast to the girls.	207	France	Locality	Country							France	FRA	2.5505399530000545	46.55941704400004	100	
England	GPE	They asked also about England, and was it really true that when we went	208	England, GBR	Locality	State or Province						England	United Kingdom	GBR	-1.4586284489999457	52.59274188900008	100	
England	GPE	an early grave. I said at last that in England we slept the whole summer in the open air.	210	England, GBR	Locality	State or Province						England	United Kingdom	GBR	-1.4586284489999457	52.59274188900008	100	
Trouville	GPE	Sauterelle!—which reminds me I have never told you anything about Trouville. The whole place was full of such beautiful ladies	211	Trouville, Calvados, Normandie, FRA	Locality	City				Trouville	Calvados	Normandie	France	FRA	0.08041000000002896	49.36570000000006	100	
Trouville	GPE	"said it was just like his economy to go to Trouville with such ""une espèce de petite fagottée bon marché"	213	Trouville, Calvados, Normandie, FRA	Locality	City				Trouville	Calvados	Normandie	France	FRA	0.08041000000002896	49.36570000000006	100	
Paris	GPE	be separated. We had to go right up to Paris (as the express does not stop at Vinant)	220	Paris, Île-de-France, FRA	Locality	City				Paris	Paris	Île-de-France	France	FRA	2.3616573370000538	48.86369757600005	100	
Vinant	GPE	to Paris (as the express does not stop at Vinant), and then back again. One can just	220	Vinzant, 904 W Old Ridge Rd, Hobart, IN, 46342, USA	POI	Other Shops and Service	904 W Old Ridge Rd	Old Ridge	904	Hobart	Lake County	Indiana	United States	USA	-87.27105899999998	41.54000000000008	85.71	
Versailles	GPE	the garden playing tennis with a party of friends from Versailles, and among them, of course, the Vicomte	225	Versailles, Place d'Armes, 78000, Versailles, Yvelines, Île-de-France, FRA	POI	Historical Monument	Place d'Armes	Armes		Versailles	Yvelines	Île-de-France	France	FRA	2.1207600000000753	48.804770000000076	100	
Versailles	GPE	, in a lower voice, that his ride from Versailles now seemed to him to have been very short.	225	Versailles, Place d'Armes, 78000, Versailles, Yvelines, Île-de-France, FRA	POI	Historical Monument	Place d'Armes	Armes		Versailles	Yvelines	Île-de-France	France	FRA	2.1207600000000753	48.804770000000076	100	
Versailles	GPE	that he was saying it was a long ride from Versailles! So you see that Frenchmen are not truthful,	225	Versailles, Place d'Armes, 78000, Versailles, Yvelines, Île-de-France, FRA	POI	Historical Monument	Place d'Armes	Armes		Versailles	Yvelines	Île-de-France	France	FRA	2.1207600000000753	48.804770000000076	100	
