Location	ent_type	context	p_no	LongLabel	Addr_type	Type	StAddr	StName	AddNum	City	Subregion	Region	CntryName	Country	x	y	score	error
the Eternal City	GPE	at diplomacies on the part of Eminences sent forth from the Eternal City. Both in speech and in print he gave one	308	The Eternal, Saroornagar, Hyderabad, Rangareddy, Telangana, 500035, IND	POI	Residential Area				Hyderabad	Rangareddy	Telangana	India	IND	78.53314000000006	17.345650000000035	82.86	
Charlotte	GPE	. I am far from complaining, for our fair Charlotte did everything (almost everything) well, and she	311	Charlotte, NC, USA	Locality	City				Charlotte	Mecklenburg County	North Carolina	United States	USA	-80.83795999999995	35.222860000000026	100	
Charlotte	GPE	We were gathered in the sitting-room, and Charlotte had been playing to us. Mrs. Perry, supported	314	Charlotte, NC, USA	Locality	City				Charlotte	Mecklenburg County	North Carolina	United States	USA	-80.83795999999995	35.222860000000026	100	
Charlotte	GPE	detected a slight unwillingness on the part of the fair Charlotte to leave us together. I was the more glad	331	Charlotte, NC, USA	Locality	City				Charlotte	Mecklenburg County	North Carolina	United States	USA	-80.83795999999995	35.222860000000026	100	
Charlotte	GPE	've forgotten to curse him. Ah! there's Charlotte playing again. She does play divinely, doesn't	346	Charlotte, NC, USA	Locality	City				Charlotte	Mecklenburg County	North Carolina	United States	USA	-80.83795999999995	35.222860000000026	100	
Leversedge	GPE	thoughts passed through my mind as I looked up at Leversedge, and in doing so became aware that his lean	365	Liversedge, Kirklees, West Yorkshire, England, GBR	Locality	City				Kirklees	West Yorkshire	England	United Kingdom	GBR	-1.6985792879999622	53.71072645500004	91.2	
Geneva	GPE	manger—next morning, that Leversedge had left for Geneva by the first train.	426	Geneva, CHE	Locality	City				Geneva	Geneva	Geneva	Switzerland	CHE	6.142750000000035	46.208330000000046	100	
St. Gingolph	GPE	the head of the lake. The chestnut woods above St. Gingolph held the sunshine in an enchanting manner, I remember	427	Saint-Gingolph, Thonon-les-Bains, Haute-Savoie, Auvergne-Rhône-Alpes, FRA	Locality	City				Thonon-les-Bains	Haute-Savoie	Auvergne-Rhône-Alpes	France	FRA	6.803000000000054	46.392300000000034	100	
mufti	GPE	the large and affectionate Germans; the English clergy in mufti, surrounded by their harems; even those very superior	431	Mufti, Sloane Street, London, England, SW1X 9, GBR	POI	Furniture Store	Sloane Street	Sloane		London	London	England	United Kingdom	GBR	-0.16006999999996196	51.501450000000034	100	
Switzerland	GPE	crown. Of all European countries known to me, Switzerland undoubtedly produces the most unholy headgear, both male and	431	Switzerland	Locality	Country							Switzerland	CHE	8.245024096000066	46.79981744200006	100	
