Location	ent_type	context	p_no	LongLabel	Addr_type	Type	StAddr	StName	AddNum	City	Subregion	Region	CntryName	Country	x	y	score	error
morocco	GPE	longing eyes at the substantial oblong of wood and black morocco, and duplicate lenses like a pair of spectacles,	230	Morocco	Locality	Country							Kingdom of Morocco	MAR	-4.999999999999943	32.00000000000006	100	
Phillida	GPE	unmitigable surname. He could not help thinking that this Phillida did not look the one to flout a fellow,	302	Fillyra, GRC	Locality	City					Fillyra	Rodopi	Ellada	GRC	25.631700000000023	41.12209000000007	78.57	
London	GPE	“And they let you come up to London alone!” remarked Dr. Baumgartner when he got a	308	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
London	GPE	I will unless I'm in some outlandish part of London!” cried Pocket, reflecting for the first time	349	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
London	GPE	time that he had no idea in what part of London he was. “I must catch it. It	349	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
England	GPE	for trial; it would get into every paper in England; your family could not stop it, your schoolfellows	406	England, GBR	Locality	State or Province						England	United Kingdom	GBR	-1.4586284489999457	52.59274188900008	100	
London	GPE	Even though it comes to hiding with us here in London?”	430	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
Tassaud	GPE	broad-arrows of the little old waxwork at Madame Tassaud's! He could not help himself; his mind	438	Tassaïd, Tambacounda, SEN	POI	Stream						Tambacounda	Sénégal	SEN	-12.177409999999952	14.662030000000073	85.71	
England	GPE	You talk about your undesirable aliens, but here in England you breed undesirables enough to manure the world! It	443	England, GBR	Locality	State or Province						England	United Kingdom	GBR	-1.4586284489999457	52.59274188900008	100	
Bismarck	GPE	thought nothing of your human life. Von Moltke, Bismarck, and our staff in Germany thought as little of	451	Bismarck, ND, USA	Locality	City				Bismarck	Burleigh County	North Dakota	United States	USA	-100.77968999999996	46.805360000000064	100	
Germany	GPE	. Von Moltke, Bismarck, and our staff in Germany thought as little of it as Napoleon; the Empire	451	Germany	Locality	Country							Federal Republic of Germany	DEU	10.39227793200007	51.11063104900006	100	
British Empire	GPE	of the infinitesimal value of human life, and your British Empire will be lost through exaggerating its importance. Blood and	451	British Empire, Krebsgasse 9, 90402, Nürnberg, Bayern, DEU	POI	Clothing Store	Krebsgasse 9	Krebs	9	Nürnberg	Nürnberg	Bayern	Deutschland	DEU	11.075180000000046	49.44954000000007	100	
