Location	ent_type	context	p_no	LongLabel	Addr_type	Type	StAddr	StName	AddNum	City	Subregion	Region	CntryName	Country	x	y	score	error
Jasper	GPE	was that it lay sheltered from all winds; to Jasper a wind was objectionable. Along the bottom ran a	222	Jasper, AB, CAN	Locality	City				Jasper	Division No. 15	Alberta	Canada	CAN	-118.07925599999999	52.87927700000006	100	
Wattleborough	GPE	In a sort of way. I was born in Wattleborough, and my people have always lived here. But	232	Attleborough, Breckland, Norfolk, England, GBR	Locality	City				Breckland	Norfolk	England	United Kingdom	GBR	1.0145845570000347	52.516457709000065	87.08	
Oxford	GPE	he began with money and friends; he came from Oxford into the thick of advertised people; his name was	245	Oxford, Oxfordshire, England, GBR	Locality	City				Oxford	Oxfordshire	England	United Kingdom	GBR	-1.257628795999949	51.751982637000026	100	
London	GPE	he said. 'In less than five minutes a London express goes by; I have often watched it here	284	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
London	GPE	a train like that that I first went up to London. Not really the first time; I mean when	294	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
London	GPE	! A boy of eighteen going to live independently in London; think of it!'	294	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
London	GPE	to me. A friend of mine was studying in London for some Civil Service exam., so I declared	296	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
London	GPE	thing. I read voraciously, and got to know London. I might have gone to the dogs, you	298	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
London	GPE	you know; but by when I had been in London a year a pretty clear purpose began to form in	298	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
London	GPE	Do you think you will keep up their acquaintance in London?'	324	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
Midway	GPE	Midway in the following morning, as Jasper sat with a	328	Midway, UT, USA	Locality	City				Midway	Wasatch County	Utah	United States	USA	-111.47616999999997	40.51224000000008	100	
London	GPE	He unfolded a London evening paper, and indicated a long letter from a	330	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
Wattleborough	GPE	and perhaps a trifle condescending; there were people in Wattleborough who declared their airs of superiority ridiculous and insufferable.	347	Attleborough, Breckland, Norfolk, England, GBR	Locality	City				Breckland	Norfolk	England	United Kingdom	GBR	1.0145845570000347	52.516457709000065	87.08	
London	GPE	'I have no friends of my own age in London.'	350	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
Yules	GPE	For two days nothing was seen of the Yules. Jasper went each afternoon to the stream in the	357	Yugles, улица имени Болотникова, Краснодар, Краснодарский край, 350040, RUS	POI	Furniture Store	улица имени Болотникова	имени Болотникова		Краснодар	Краснодар	Краснодарский край	Russian Federation	RUS	39.02061000000003	45.00878000000006	83.33	
London	GPE	'I shall go to London this afternoon.'	359	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
Wattleborough	GPE	was ready to leave the house for her engagements in Wattleborough, her brother came into the hall and took his	365	Attleborough, Breckland, Norfolk, England, GBR	Locality	City				Breckland	Norfolk	England	United Kingdom	GBR	1.0145845570000347	52.516457709000065	87.08	
Yules	GPE	you think I ought to say good bye to the Yules? Or won't it signify?'	368	Yugles, улица имени Болотникова, Краснодар, Краснодарский край, 350040, RUS	POI	Furniture Store	улица имени Болотникова	имени Болотникова		Краснодар	Краснодар	Краснодарский край	Russian Federation	RUS	39.02061000000003	45.00878000000006	83.33	
London	GPE	wish on their part that I should see them in London. No, I'll just leave you to say	370	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
Midland	GPE	had a brother who was a struggling shopkeeper in a Midland town. Some ten years ago, William Milvain,	381	Midland, TX, USA	Locality	City				Midland	Midland County	Texas	United States	USA	-102.07445999999999	32.00002000000006	100	
Wattleborough	GPE	borrowed a hundred and seventy pounds from his brother in Wattleborough, and this debt was still unpaid; for on	381	Attleborough, Breckland, Norfolk, England, GBR	Locality	City				Breckland	Norfolk	England	United Kingdom	GBR	1.0145845570000347	52.516457709000065	87.08	
Wattleborough	GPE	Yule. That gentleman had gone in the carriage to Wattleborough, half an hour ago, with his brother.	390	Attleborough, Breckland, Norfolk, England, GBR	Locality	City				Breckland	Norfolk	England	United Kingdom	GBR	1.0145845570000347	52.516457709000065	87.08	
London	GPE	say good-bye to him. I return to London in a few hours.'	393	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
London	GPE	are not often invited to correspond with literary ladies in London.'	401	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
London	GPE	of her. Who knows but you may live in London some day, and then she might be valuable —	412	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
Hampstead	GPE	day one enjoyed extensive views. The green ridge from Hampstead to Highgate, with Primrose Hill and the foliage of	415	Hampstead, QC, CAN	Locality	City				Hampstead	Communauté-Urbaine-de-Montréal	Québec	Canada	CAN	-73.64813499999997	45.480765000000076	100	
St. John's	GPE	's Park in the foreground; the suburban spaces of St. John's Wood, Maida Vale, Kilburn; Westminster Abbey and	415	St John's, Saint John, ATG	Locality	City				Saint John		Saint John	Antigua and Barbuda	ATG	-61.84328999999997	17.120960000000025	100	
Maida Vale	GPE	; the suburban spaces of St. John's Wood, Maida Vale, Kilburn; Westminster Abbey and the Houses of Parliament	415	Maida Vale, Perth, Western Australia, AUS	Locality	District				Perth		Western Australia	Australia	AUS	116.02109000000007	-31.947569999999928	100	
Kilburn	GPE	spaces of St. John's Wood, Maida Vale, Kilburn; Westminster Abbey and the Houses of Parliament, lying	415	Kilburn, Brent, Greater London, England, GBR	Locality	District				Brent	Greater London	England	United Kingdom	GBR	-0.20031843899994328	51.536134427000036	100	
Westminster Abbey	GPE	St. John's Wood, Maida Vale, Kilburn; Westminster Abbey and the Houses of Parliament, lying low by the	415	Westminster Abbey, Westminster Abbey, Broad Sanctuary, London, England, SW1P 3, GBR	POI	Historical Monument	Westminster Abbey, Broad Sanctuary	Broad Sanctuary		London	London	England	United Kingdom	GBR	-0.12733999999994694	51.49929000000003	100	
London	GPE	the Crystal Palace; then the clouded majesty of eastern London, crowned by St. Paul's dome. These things	415	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
Reardons	GPE	and remained until two o'clock, by which time the Reardons had dined; on special occasions, her services were	417	Reardon's, 1060 Pollokshaws Road, Strathbungo, Glasgow, Lanarkshire, Scotland, G41 3, GBR	POI	British Isles Food	1060 Pollokshaws Road	Pollokshaws	1060	Glasgow	Lanarkshire	Scotland	United Kingdom	GBR	-4.279529999999966	55.83122000000003	99.99	
London	GPE	Reardon's frequently expressed desire to go and live in London, where fortune, she thought, might be kinder	531	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
London	GPE	this money. His mother's desire to live in London had in him the force of an inherited motive;	533	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
London	GPE	Friends in London he had none; but for an occasional conversation with	549	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
Derby	GPE	mother's father — an old man who lived at Derby, retired from the business of a draper, and	550	Derby, Derbyshire, England, GBR	Locality	City				Derby	Derbyshire	England	United Kingdom	GBR	-1.478050565999979	52.92471139500003	100	
London	GPE	that the secretary of a hospital in the north of London was in need of a clerk; application was to	553	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
London	GPE	He returned to London at mid-June, and on the second day	567	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
Italy	GPE	author, one, too, who was fresh from Italy and Greece. Mrs. Yule, a lady rather too	570	Italy	Locality	Country							Italian Republic	ITA	12.833330000000046	42.833330000000046	100	
Greece	GPE	one, too, who was fresh from Italy and Greece. Mrs. Yule, a lady rather too pretentious in	570	Greece	Locality	Country							Greece	GRC	22.000000000000057	39.00000000000006	100	
Westbourne Park	GPE	a call at their house, in the region of Westbourne Park. It was a small house, and rather showily	571	Westbourne Park, Adelaide, South Australia, AUS	Locality	District				Adelaide		South Australia	Australia	AUS	138.59793000000002	-34.971739999999954	100	
London	GPE	chant merrily when a marriage is over? Here in London we can have no such music; but for us	604	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
London	GPE	didn't invite me to come and see them in London.'	632	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
Hastings	GPE	But can't you all manage a fortnight somewhere — Hastings, East-bourne?'	641	Hastings, East Sussex, England, GBR	Locality	City				Hastings	East Sussex	England	United Kingdom	GBR	0.5812458330000254	50.85632511400007	100	
England	GPE	never since been the man I was before I left England. The stage I had then reached was the result	699	England, GBR	Locality	State or Province						England	United Kingdom	GBR	-1.4586284489999457	52.59274188900008	100	
Jasper	GPE	'I can understand,' put in Jasper, 'that there may be philosophical truth in all	701	Jasper, AB, CAN	Locality	City				Jasper	Division No. 15	Alberta	Canada	CAN	-118.07925599999999	52.87927700000006	100	
Italy	GPE	the command of my literary resources. I lived in Italy and Greece as a student, concerned especially with the	704	Italy	Locality	Country							Italian Republic	ITA	12.833330000000046	42.833330000000046	100	
Greece	GPE	of my literary resources. I lived in Italy and Greece as a student, concerned especially with the old civilisations	704	Greece	Locality	Country							Greece	GRC	22.000000000000057	39.00000000000006	100	
London	GPE	you are not at all likely to meet them in London?'	728	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
Tottenham	GPE	In Tottenham Court Road she waited for an omnibus that would take	768	Tottenham, Greater London, England, GBR	Locality	City				Tottenham	Greater London	England	United Kingdom	GBR	-0.06793999999996458	51.60373000000004	100	
Camden	GPE	omnibus that would take her to the remoter part of Camden Town; obtaining a corner seat, she drew as	768	Camden, NJ, USA	Locality	City				Camden	Camden County	New Jersey	United States	USA	-75.11912999999998	39.945250000000044	100	
London	GPE	was not flagrantly vulgar, but the accent of the London poor, which brands as with hereditary baseness, still	774	London, Greater London, England, GBR	Locality	City				London	Greater London	England	United Kingdom	GBR	-0.12769887399997515	51.507408346000034	100	
