Location	ent_type	context	p_no	LongLabel	Addr_type	Type	StAddr	StName	AddNum	City	Subregion	Region	CntryName	Country	x	y	score	error
Botfield	GPE	was the cleanest, neatest, tidiest lass in all Botfield. So Martha Fern regarded their residence on the cinder	274	Bonfield, ON, CAN	Locality	Village				Bonfield	Nipissing District	Ontario	Canada	CAN	-79.14786699999996	46.23251000000005	87.5	
china	GPE	her mother; and we'll have out the three china cups; only grandfather and little Nan must have common	277	China	Locality	Country							China	CHN	103.93002703300004	36.567348398000036	100	
thee'lt	GPE	I thought I'd better tell thee; and then thee'lt make haste home from church in the afternoon.'	277	Thee, Wundwin, Mandalay	Locality	City				Wundwin	Meiktila	Mandalay	မြန်မာ	MMR	95.96370000000007	21.182780000000037	85.79	
thee'lt	GPE	enemies as well as thee, I think; but thee'lt want to go up to heaven alone next.'	281	Thee, Wundwin, Mandalay	Locality	City				Wundwin	Meiktila	Mandalay	မြန်မာ	MMR	95.96370000000007	21.182780000000037	85.79	
china	GPE	tea-table, upon which she placed the three china cups, with a gratified glance at the undisguised admiration	285	China	Locality	Country							China	CHN	103.93002703300004	36.567348398000036	100	
china	GPE	foot of the bed, though Martha prudently replaced the china cups in the cupboard, Tim and Stephen drew up	286	China	Locality	Country							China	CHN	103.93002703300004	36.567348398000036	100	
Botfield	GPE	to the dirty extravagance of the collier-folk at Botfield. But who could tell how he suffered in his	293	Bonfield, ON, CAN	Locality	Village				Bonfield	Nipissing District	Ontario	Canada	CAN	-79.14786699999996	46.23251000000005	87.5	
Botfield	GPE	if he will. Why, all the lads in Botfield are making a mock at thee, calling thee an	297	Bonfield, ON, CAN	Locality	Village				Bonfield	Nipissing District	Ontario	Canada	CAN	-79.14786699999996	46.23251000000005	87.5	
begrimed	GPE	you!' cried Andrew, comparing Martha with the begrimed pit-girls about him. 'The best shawl	299															nothing found
scourgeth	GPE	"but ""whom the Lord loveth He chasteneth, and scourgeth every son whom He receiveth."" God is dealing"	316															nothing found
Botfield	GPE	The cabin was full of women from Botfield, for Martha had fallen into violent fits of hysterics	325	Bonfield, ON, CAN	Locality	Village				Bonfield	Nipissing District	Ontario	Canada	CAN	-79.14786699999996	46.23251000000005	87.5	
Botfield	GPE	All the people in Botfield wished to attend little Nan's funeral, but Stephen	347	Bonfield, ON, CAN	Locality	Village				Bonfield	Nipissing District	Ontario	Canada	CAN	-79.14786699999996	46.23251000000005	87.5	
Longville	GPE	himself should accompany the tiny coffin to the churchyard at Longville; but Martha implored so earnestly to go with them	347	Longville, LA, USA	Locality	City				Longville	Beauregard Parish	Louisiana	United States	USA	-93.23249999999996	30.60668000000004	100	
